Feature,Mean_IC,Abs_IC,IC_Std,Positive_IC_Pct,Observations,ICIR,Alpha_Score,Global_Weight,Rolling_IC,Rolling_ICIR,Rolling_Rank,Rolling_Weight,IC_Volatility,IC_FlipRate,Rolling_IC_Volatility,Rolling_ICIR_Volatility,Stability_Score,Stability_Multiplier,Stability_Weight,Stability_Rank,Cluster_ID,Cluster_Size,Representative,Dropped_By_Cluster,Cluster_Weight,Diversification_Multiplier,Regime,Regime_Mean_IC,Regime_Abs_IC,Regime_ICIR,Regime_Alpha_Score,Regime_Positive_IC_Pct,Regime_Observations,Regime_Weight,Historical_IC,Recent_IC,IC_Delta,Historical_ICIR,Recent_ICIR,ICIR_Delta,Recent_Positive_Pct,IC_Trend,Decay_Score,Decay_Multiplier,Decay_Weight,Feature_Rank,Use_Feature,Rolling_Component,Stability_Component,Regime_Component,Decay_Component,Diversification_Component,Rolling_Contribution,Stability_Contribution,Regime_Contribution,Decay_Contribution,Diversification_Contribution,Final_IC_Score,Adaptive_Weight,Adaptive_Score
Momentum,-0.00569955787277995,0.20242512907246704,0.2516728844859201,0.5004998333888704,3001,-0.02264669021366949,0.060909428028978356,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.005699557872779947,0.041713900134952776,0.04741345800773272,-0.02265046434753848,0.21388717408875182,0.2365376384362903,0.55,2.6554270293617343e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Price_to_MA20,-0.005837917352020181,0.19858556146758982,0.2476249836808849,0.49520026481297585,3021,-0.02357563942727154,0.05956206283134097,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.005837917352020181,0.06066801619433199,0.06650593354635218,-0.023579542355753217,0.31339776775403305,0.33697731010978627,0.5833333333333334,2.3409067561890577e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Trend_Z,-0.006793234861693524,0.19096514476202267,0.23627915386622445,0.48916636063165625,2723,-0.02875088522108389,0.05552399676464424,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.006793234861693523,-0.02310415075120957,-0.016310915889516046,-0.028756165942057686,-0.12201910595858619,-0.0932629400165285,0.35,1.083075567985336e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Vol_Z,-0.007813695479454345,0.1776599186160096,0.22165111890881525,0.4779462439696761,2902,-0.03525222648398443,0.04995910338542367,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.007813695479454345,0.008412493288654281,0.016226188768108628,-0.035258301835399616,0.04558347975879639,0.080841781594196,0.5166666666666667,-1.8190448892226042e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BB_Z20,-0.00927323427466596,0.18746213612908522,0.23489159249581926,0.49189010261502814,3021,-0.039478783112904425,0.049288214397757,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.009273234274665958,0.0532557354925776,0.06252896976724356,-0.03948531879425783,0.33084800855898144,0.37033332735323926,0.6166666666666667,2.1918673734529025e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MACD_Hist,-0.008828776032872687,0.18322370775972294,0.22864466905910832,0.47964250248262164,3021,-0.03861352215466167,0.04806030537746752,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.008828776032872689,0.016005398110661276,0.024834174143533963,-0.03861991459274632,0.0914413820110229,0.13006129660376922,0.5,1.1277675629970352e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MACD_Hist_Z,-0.008842441906570965,0.18320800148258354,0.22863137117105856,0.47964250248262164,3021,-0.0386755405551045,0.048022095495114485,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.008842441906570967,0.016005398110661276,0.024847840017232243,-0.038681943260286344,0.0914413820110229,0.13012332527130926,0.5,1.1251021227178042e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Price_to_MA10,-0.009536910504921376,0.1921604140942108,0.23908036110559203,0.4799735187024164,3021,-0.0398899785031667,0.04719546647714436,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.009536910504921376,0.03375843454790824,0.04329534505282962,-0.039896582257592586,0.18379196503784845,0.22368854729544102,0.55,1.2637129272849096e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BB_Z10,-0.011299909285314342,0.18269245847625923,0.22731146897442778,0.4812975835815955,3021,-0.049711126704629405,0.041463545064098856,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.011299909285314342,0.034008097165991916,0.045308006451306254,-0.04971935634237901,0.21176508347384543,0.26148443981622443,0.6166666666666667,1.3575250804654583e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Regime_Score,-0.013514897269161663,0.18998063881347244,0.23510888836532912,0.4730077120822622,2723,-0.057483565617807174,0.03528072654179689,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.013514897269161665,0.0009974216959511165,0.014512318965112781,-0.057494123716045405,0.004634934942463674,0.06212905865850908,0.43333333333333335,2.3328731891242304e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Log_Return,-0.01512342644535116,0.1882470858904277,0.23382231590699057,0.4777998674618953,3018,-0.06467914032075445,0.031559425009263994,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.01512342644535116,-0.005149968383411784,0.009973458061939375,-0.06468985854769754,-0.02617992777873854,0.038509930768959005,0.5333333333333333,9.240366101851588e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return,-0.01512342644535116,0.1882470858904277,0.23382231590699057,0.4777998674618953,3018,-0.06467914032075445,0.031559425009263994,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.01512342644535116,-0.005149968383411784,0.009973458061939375,-0.06468985854769754,-0.02617992777873854,0.038509930768959005,0.5333333333333333,9.240366101851588e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_Lag1,-0.01512342644535116,0.1882470858904277,0.23382231590699057,0.4777998674618953,3018,-0.06467914032075445,0.031559425009263994,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.01512342644535116,-0.005149968383411784,0.009973458061939375,-0.06468985854769754,-0.02617992777873854,0.038509930768959005,0.5333333333333333,9.240366101851588e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_Z,-0.015141795036493636,0.18822950284992956,0.23378984862096922,0.4777998674618953,3018,-0.06476669137279573,0.03150576135329854,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.015141795036493636,-0.005149968383411784,0.009991826653081851,-0.06477742410815744,-0.02617992777873854,0.038597496329418904,0.5333333333333333,9.204629247521868e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Return_Rank,-0.015148618107657722,0.1882243318286986,0.23377998681706583,0.4777998674618953,3018,-0.06479860936391015,0.03148615953683638,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.015148618107657726,-0.005149968383411784,0.009998649724245943,-0.06480934738852388,-0.02617992777873854,0.038629419609785345,0.5333333333333333,9.191418603501938e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Vol_Regime,-0.022471324528750194,0.20683425774786993,0.2536448348168377,0.4574644157563721,3021,-0.08859366072399444,0.013151751606633802,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.022471324528750194,-0.020019631484638437,0.0024516930441117572,-0.08860832733453687,-0.11559958252967303,-0.026991255195136163,0.4,-3.4279485095039655e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Momentum_Z,-0.0231235102297164,0.19215818916177702,0.23817105947140566,0.4631288766368022,2902,-0.09708782496054999,0.009133974698302912,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0231235102297164,0.027892740539799357,0.051016250769515756,-0.09710455702867125,0.12146793725135682,0.21857249428002806,0.5666666666666667,2.8733444284148548e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Volatility_Z,-0.027574780860762524,0.22074933765466467,0.26931235340053006,0.4644157563720622,3021,-0.10238958744444532,0.005075656103135637,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.027574780860762524,-0.0062618083670715205,0.021312972493691004,-0.10240653795976122,-0.03176911268051397,0.07063742527924725,0.4666666666666667,-2.243872912175997e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Volatility_Rank,-0.027576222100670636,0.22075077889457279,0.26931297760199757,0.4644157563720622,3021,-0.1023947016731933,0.005072410905351821,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.027576222100670636,-0.0062618083670715205,0.021314413733599116,-0.10241165303516574,-0.03176911268051397,0.07064254035465177,0.4666666666666667,-2.2466978099934727e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
PE_Rank,-0.025867382302481253,0.19287624720803503,0.23746164960986268,0.46838795100959946,3021,-0.10893288341947911,0.0025848920799820263,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.025867382302481246,0.13608778115743717,0.16195516345991842,-0.1089509171722656,0.9381534262644733,1.0471043434367389,0.7833333333333333,-1.6199351625871834e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
PE_Z,-0.0276310354980031,0.19171320006770265,0.23628859737809338,0.46739490235021514,3021,-0.11693765881073002,-0.0024957876427701697,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.0276310354980031,0.13560508067362145,0.16323611617162456,-0.1169570177477579,0.9341396748736999,1.0510966926214578,0.7833333333333333,-1.5141658998785716e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Volatility,-0.03228605456479676,0.2294834965214068,0.27939493616248584,0.46017994001999335,3001,-0.11555704943221778,-0.004215202554159803,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.032286054564796766,0.0031815114709851534,0.03546756603578192,-0.115576307335696,0.015983217313004772,0.13155952464870077,0.5166666666666667,-2.3529047109625766e-06,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
PE,-0.02883049271489138,0.19115646755329435,0.23528371761556396,0.4657398212512413,3021,-0.12253500958133977,-0.006182429896518099,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.02883049271489138,0.13655360400195857,0.16538409671684995,-0.12255529515536509,0.9474100387136585,1.0699653338690236,0.7833333333333333,-1.625378353870761e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
PE_Change,-0.02928884427244441,0.18616968105774478,0.22968713759003118,0.45294897282968855,3018,-0.12751625734134855,-0.010978248895021761,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,-0.02928884427244441,-0.022865825887598175,0.006423018384846234,-0.12753738854652902,-0.1136479130499752,0.013889475496553824,0.4666666666666667,1.2480224784127126e-05,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EPS_Growth,-0.054473995741181176,0.13126589071489433,0.17468360727650084,0.18181818181818182,11,-0.3118437744596855,-0.1605835474024541,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
EPS_Growth_Z,-0.056888103372680104,0.13367999834639327,0.17068639070302397,0.18181818181818182,11,-0.3332902102216755,-0.17310331936099826,0.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
