Category,Num_Features,Mean_Decay_Multiplier,Median_Decay_Multiplier,Std_Decay_Multiplier,Mean_Decay_Score,Mean_Historical_IC,Mean_Recent_IC,Mean_Historical_ICIR,Mean_Recent_ICIR,IC_Improvement,ICIR_Improvement,Category_Stability,Decay_Norm,DecayScore_Norm,IC_Norm,ICIR_Norm,Stability_Norm,Raw_Score,Category_Budget,Budget_Rank
Unknown,81,1.0011701333782281,1.0,0.024137022051137946,0.5592380022728025,0.006210772362695343,0.050585094696328,0.019305700893422192,0.2810899929122088,0.04437432233363266,0.2617842920187866,41.428415214860436,1.0,1.0,0.652541697724876,0.5419107093770574,0.0,0.8465407761790462,0.3044296521661041,1
Momentum,4,1.0,1.0,0.0,0.0,-0.0004118173980724152,0.06216430499325237,-0.0015899747842006984,0.3779473004704484,0.06257612239132479,0.3795372752546491,1000000.0,0.7705156635356248,0.0,0.7881101734375201,0.7127312443946389,1.0,0.6209785357707602,0.22331384968906173,2
Volatility,1,1.0,1.0,0.0,0.0,-0.032286054564796766,0.0031815114709851534,-0.115576307335696,0.015983217313004772,0.03546756603578192,0.13155952464870077,1000000.0,0.7705156635356248,0.0,0.09754430529612244,0.07436022313819529,1.0,0.45616629576815393,0.16404472254414793,3
Price,2,1.0,1.0,0.0,0.0,-0.01512342644535116,-0.005149968383411784,-0.06468985854769754,-0.02617992777873854,0.009973458061939375,0.038509930768959005,1000000.0,0.7705156635356248,0.0,0.0,0.0,1.0,0.4352578317678124,0.15652570325758586,4
Value,2,0.9960711649856303,0.9960711649856303,0.0039288350143696915,0.48035582492815165,0.008761308540663124,0.08026229457857713,0.022413005851269027,0.5408321562676597,0.07150098603791401,0.5184191504163906,254.46360886485982,0.0,0.858947036817839,1.0,1.0,0.00021304401972610762,0.42180005956455413,0.15168607234310044,5
