Feature,Regime,Mean_IC,Abs_IC,ICIR,Alpha_Score,Regime_Rank,Regime_Weight
Trend_Strength,SIDEWAYS,0.036233176887993726,0.2250248516843422,0.1320063994207985,0.02970472045104922,1.0,1.2
EPS,SIDEWAYS,0.03559767035183041,0.22828877370723305,0.12876064786078023,0.02939461040188638,2.0,1.1
Value_Score,SIDEWAYS,0.029105723320397132,0.18547295495130053,0.12664268297920475,0.023488792635113876,3.0,1.0
EMA_Spread_Z,SIDEWAYS,0.024077790647581615,0.21815427199701423,0.08880939373714386,0.019374148637222813,4.0,0.9
Low_20,SIDEWAYS,0.01728206448951067,0.24405641031069802,0.05870112796798769,0.014326386573055995,5.0,0.8
