Cluster_ID,Cluster_Weight,Diversification_Multiplier
1,0.21070561312424996,0.9262530354065125
2,0.15910786776166502,0.9443122462834173
3,0.2412541625790434,0.9155610430973348
4,0.17476746293511417,0.93883138797271
5,0.2141648935999275,0.9250422872400254
