Category,Num_Features,Mean_Decay_Multiplier,Median_Decay_Multiplier,Std_Decay_Multiplier,Mean_Decay_Score,Mean_Historical_IC,Mean_Recent_IC,Mean_Historical_ICIR,Mean_Recent_ICIR,IC_Improvement,ICIR_Improvement,Category_Stability
Unknown,81,1.001169757059742,1.0,0.024136616093705023,0.5592189511494352,0.0062139042148972425,0.050589023700923226,0.019320530712525843,0.28110885468066926,0.04437511948602598,0.26178832396814344,41.42911197683666
Momentum,4,1.0,1.0,0.0,0.0,-0.00041264163443526197,0.06216430499325237,-0.0015935214234825473,0.3779473004704484,0.06257694662768763,0.37954082189393096,1000000.0
Price,2,1.0,1.0,0.0,0.0,-0.015129290322449388,-0.005149968383411784,-0.06471387119828104,-0.02617992777873854,0.009979321939037604,0.0385339434195425,1000000.0
Volatility,1,1.0,1.0,0.0,0.0,-0.03228195336775988,0.0031815114709851534,-0.11556150536195497,0.015983217313004772,0.03546346483874503,0.13154472267495976,1000000.0
Value,2,0.9960702653003249,0.9960702653003249,0.003929734699675058,0.4803513265016247,0.008758535906822627,0.08026229457857713,0.022401856833239274,0.5408321562676597,0.0715037586717545,0.5184302994344204,254.40536602042027
