Feature,Num_Observations,IC_Volatility,Positive_IC_Pct,IC_FlipRate,Rolling_IC_Volatility,Rolling_ICIR_Volatility
ATR,3021,0.28336207342377523,0.535253227408143,0.20496688741721855,0.08561598867789258,0.326032512215397
ATR_14,3021,0.2835917367603146,0.5339291625289639,0.2,0.08663489959565619,0.3310608840960886
ATR_Z,3021,0.2833604809957059,0.535253227408143,0.20496688741721855,0.08561488872463473,0.3260271316062147
BB_Z10,3021,0.22726808816192134,0.4812975835815955,0.29271523178807946,0.05434104055769827,0.2522788941621958
BB_Z20,3021,0.23485275016396426,0.49189010261502814,0.2685430463576159,0.06033273814635397,0.27044086255098004
BB_Z200,3021,0.25338789382790444,0.552466070837471,0.22317880794701986,0.0672197340893483,0.29325751464758215
BB_Z50,3021,0.24039352009350443,0.5024826216484608,0.24304635761589405,0.06227457431326362,0.2753798873112908
Close_Lag1,3021,0.3034702348098568,0.5365772922873221,0.2056291390728477,0.0948204006077587,0.33535888333513175
Close_Lag2,3021,0.3033797816323198,0.5339291625289639,0.2009933774834437,0.0950390624687117,0.336057298632341
Close_Lag3,3021,0.3033316895339207,0.5365772922873221,0.2033112582781457,0.09510556216407788,0.3359987060996315
Close_Lag5,3021,0.3032506469164943,0.5355842436279378,0.20231788079470198,0.09540478766316766,0.33718398154283136
EMA10,3021,0.3030784717466557,0.5322740814299901,0.20264900662251656,0.09508019436756651,0.3362841718420417
EMA20,3021,0.3027945341900841,0.5339291625289639,0.20629139072847683,0.09497815440261087,0.33604130364820617
EMA200,3021,0.3010418935550388,0.535253227408143,0.20165562913907284,0.09291009891925069,0.3289241371101682
EMA50,3021,0.302215160717231,0.5332671300893744,0.20264900662251656,0.0940054113773915,0.33284788975808116
EMA_M,3021,0.30218337253696426,0.5335981463091691,0.20198675496688742,0.09402650714028855,0.33344909207584345
EMA_S,3021,0.30290594071678284,0.5332671300893744,0.2052980132450331,0.09493856308508014,0.33584044194448986
EMA_Spread,3021,0.2601255312677986,0.5335981463091691,0.2314569536423841,0.06856278528994511,0.2806593648419409
EMA_Spread_Z,3021,0.2601243117080459,0.5335981463091691,0.2314569536423841,0.06856543522532572,0.2806900967665062
EPS,3021,0.2769362512922803,0.5607414763323403,0.20496688741721855,0.0815542135278395,0.32323622106434824
EPS_Growth,11,0.1665542844926127,0.18181818181818182,0.4,,
EPS_Growth_Z,11,0.16274308802869003,0.18181818181818182,0.4,,
Gap,3018,0.22601176690701888,0.4963552021206097,0.4468014584023865,0.03818033714667063,0.17647509444170342
Gap_Z,3021,0.22594169394665412,0.49586229725256536,0.447682119205298,0.03822504667923137,0.17677535241919543
High_20,3021,0.3014078940380276,0.5329361138695796,0.20629139072847683,0.09401867687252184,0.33429898955031034
Log_Return,3018,0.2337874396569462,0.4777998674618953,0.48889625455750746,0.033193263064097075,0.1462893457195284
Low_20,3021,0.3043567267399927,0.535253227408143,0.2052980132450331,0.09576305857028306,0.33751293758325235
MA10,3021,0.3030622575435483,0.5349222111883483,0.2009933774834437,0.09520236487100689,0.33677060142050574
MA20,3021,0.3025922836579674,0.5329361138695796,0.20860927152317882,0.094909855870925,0.33581609074753377
MA200,3021,0.300706664113711,0.5335981463091691,0.2029801324503311,0.0926296855420725,0.3281970962123402
MA50,3021,0.3018899728813021,0.5335981463091691,0.20496688741721855,0.09366016374085659,0.3318637436412089
MACD,3021,0.23616598351661044,0.505130751406819,0.21721854304635763,0.05897369828046782,0.27037088003669046
MACD_Hist,3021,0.22860674959236305,0.47964250248262164,0.24039735099337747,0.06472870947153743,0.2911902287911374
MACD_Hist_Z,3021,0.2285934537269017,0.47964250248262164,0.24039735099337747,0.064720703792887,0.29116349816322973
MACD_Signal,3021,0.23912367046147232,0.5034756703078451,0.22152317880794703,0.06090996709067655,0.27595181092328686
MACD_Z,3021,0.23616598351661044,0.505130751406819,0.21721854304635763,0.05897369828046782,0.27037088003669046
Momentum,3001,0.2516301200404813,0.5004998333888704,0.25433333333333336,0.06728438055066802,0.2821853654579296
Momentum_ATR,3021,0.248857985656888,0.5038066865276398,0.276158940397351,0.06690161988081857,0.2876582780904561
Momentum_ATR_Z,3021,0.24888034424299238,0.5038066865276398,0.276158940397351,0.06687089685954471,0.2873744637025113
Momentum_Rank,3021,0.24559168924699568,0.5001655081098973,0.2556291390728477,0.06544092063697735,0.28309116021827563
Momentum_Vol,3021,0.233110182449544,0.5081098973849718,0.2609271523178808,0.06471845299747198,0.3051793767833067
Momentum_Vol_Z,3021,0.2331075450118232,0.5081098973849718,0.2609271523178808,0.06470432087015986,0.30504780827695693
Momentum_Z,2902,0.23813067826608114,0.4627842866988284,0.2509479489831093,0.06069300817603464,0.2762351363194964
PE,3021,0.2352455833132766,0.4657398212512413,0.23013245033112584,0.06883645210058832,0.3430255606951489
PE_Change,3018,0.22964673385510442,0.45294897282968855,0.4802784222737819,0.032754620563702354,0.1419168984424965
PE_Rank,3021,0.23742317858149858,0.46838795100959946,0.22483443708609271,0.07041786315653831,0.3465272255005704
PE_Z,3021,0.23625026042803657,0.46739490235021514,0.22980132450331126,0.06885392372961617,0.338608901001315
Price_to_MA10,3021,0.23903775494397825,0.4799735187024164,0.2817880794701987,0.05670773110885604,0.24370202049322456
Price_to_MA20,3021,0.24758452687674246,0.49520026481297585,0.25927152317880797,0.06585488661900706,0.2849352788722185
Price_to_MA200,3021,0.26810773548830225,0.551142005958292,0.2165562913907285,0.07518018916401138,0.2994929481028723
Price_to_MA50,3021,0.2572962646163569,0.5114200595829196,0.23841059602649006,0.06730664271312302,0.2836062939573655
RSI,3021,0.23906548115228915,0.5031446540880503,0.2433774834437086,0.06608859540046523,0.2994979669453865
RSI_Z,3021,0.23906405859707933,0.5031446540880503,0.2433774834437086,0.06608235787059796,0.2994446209562835
