Fold,Train_Start,Train_End,Test_Start,Test_End,Train_Days,Test_Days,Train_Samples,Test_Samples,Sharpe,CAGR,Max_Drawdown,Volatility,Accuracy,Final_Return,Win_Rate,Active_Days,Avg_Turnover,Median_Turnover,Turnover95,Max_Turnover,Avg_Holdings,Deadband_Pct,Avg_Final_Score,Min_Final_Score,Max_Final_Score,Overall_Avg_Position,Pct_BEAR,Pct_BEAR_VOLATILE,Pct_SIDEWAYS,Pct_SIDEWAYS_VOLATILE,Pct_BULL,Pct_BULL_VOLATILE,AvgPos_BEAR,AvgPos_BEAR_VOLATILE,AvgPos_SIDEWAYS,AvgPos_SIDEWAYS_VOLATILE,AvgPos_BULL,AvgPos_BULL_VOLATILE,Bull_Exposure_Alpha,BullVol_Exposure_Alpha,Bear_Exposure_Alpha,BearVol_Exposure_Alpha,Sideways_Exposure_Alpha,SidewaysVol_Exposure_Alpha,Exposure_Efficiency_BULL,Exposure_Efficiency_BEAR,Exposure_Efficiency_SIDEWAYS,Exposure_Efficiency_BULL_VOL,Exposure_Efficiency_BEAR_VOL,Exposure_Efficiency_SIDEWAYS_VOL,Fold_Quality_Score,Regime_PnL_Efficiency,BullVol_Pnl_Share,Bull_Vol_Return_Efficiency,AvgRet_BEAR,AvgRet_BEAR_VOLATILE,AvgRet_SIDEWAYS,AvgRet_SIDEWAYS_VOLATILE,AvgRet_BULL,AvgRet_BULL_VOLATILE,SumPnL_BEAR,SumPnL_BEAR_VOLATILE,SumPnL_SIDEWAYS,SumPnL_SIDEWAYS_VOLATILE,SumPnL_BULL,SumPnL_BULL_VOLATILE,BullVol_PnL_Per_Day,Bull_PnL_Per_Day,Bear_PnL_Per_Day,Sideways_PnL_Per_Day,Return_Per_Unit_Exposure,Spearman_IC,Pearson_IC,Rank_IC,Avg_Probability,Std_Probability,Median_Probability,Min_Probability,Max_Probability,Probability_IQR,Probability_Spread_90_10,Probability_Spread_95_05,Probability_Entropy,Probability_Skewness,Probability_Kurtosis,CrossSectional_Dispersion,Confidence_Mean,Confidence_Std,Confidence_CV,Mean_Adjusted_Confidence,Std_Adjusted_Confidence,Brier_Score,Log_Loss,Expected_Calibration_Error,Reliability_Error,Maximum_Calibration_Error,Calibration_Gap,Overconfidence,Underconfidence,Average_Confidence,Average_Accuracy
1,2015-03-25,2017-04-11,2017-04-12,2017-07-12,504,63,10057,1323,-0.4477687475438696,-0.10863716327524231,-0.1311508786929837,0.20822998531843914,0.4935752078609221,0.9717540584010973,0.4603174603174603,62,0.978343668090361,0.9999999999989999,1.9999999999979998,1.9999999999979998,1.9206349206349207,0.0,,,,0.0459440501842955,0.2925170068027211,0.10582010582010581,0.17913832199546487,0.06198034769463341,0.2585034013605442,0.10204081632653061,0.053984839077143826,0.0196418319575951,0.027426160337525315,0.018256245786818722,0.07133076189570475,0.03518412203008381,0.02538671171140925,-0.010759928154211694,0.008040788892848323,-0.026302218226700404,-0.018517889846770188,-0.02768780439747678,0.2759374210175947,0.18455282196139866,0.15310046466897043,0.3448043958948213,0.1856153119992737,0.29454894117025815,-0.018800717047060017,-0.010125422123223805,-0.186416041468905,-0.00030872407346733445,0.00015247604795381133,-0.0022548957549011982,0.0009344933936179975,-0.004066208447779735,-0.0002315644300899196,-0.00030872407346733445,-0.012721061862710822,0.01634915412688642,0.008117630685326824,0.00763541434203796,0.03789887016163865,-0.018954076295265212,-0.18574994769359907,0.1466087872042337,-0.04348828125159281,0.045314875091507965,-0.008053176700409104,0.0014546912840188635,-0.07316951239212537,0.0014546912840188635,0.4937320404551475,0.1328219502248234,0.5,0.18187440526987408,0.8300839458276683,0.1641438318588695,0.3695070142971352,0.4706848482805641,0.6564972806937612,0.06607977620754288,-0.22056716595784476,0.1277444809574075,0.7303038878306811,0.1291525201344498,0.17684764149060178,0.3965661564964941,0.05893750238036993,0.2607659323490231,0.7177581411863742,0.09657478959294495,0.15564807967695138,0.25855542731481007,-0.003622456899349813,0.0,0.003622456899349813,0.4937320404551475,0.4973544973544973
2,2015-06-26,2017-07-12,2017-07-13,2017-10-12,504,63,10246,1323,0.22439519931720323,0.02505799276437104,-0.08304495539437562,0.27143236477386296,0.5298563869992441,1.0061851721202035,0.47619047619047616,62,1.0834033794113962,0.9999999999989999,1.9999999999979998,1.9999999999979998,1.873015873015873,0.0,,,,0.04474604660911951,0.2600151171579743,0.11413454270597127,0.2562358276643991,0.05517762660619804,0.23809523809523808,0.07634164777021919,0.024225565723109736,0.0904972064199605,0.05974617799722473,0.0205479452054589,0.034781444616663645,0.04445779693459993,-0.009964601992455864,-0.00028824967451957645,-0.020520480886009773,0.045751159810840984,0.015000131388105221,-0.024198101403660608,0.14608206738998733,0.09316983561533192,0.2331687123608505,0.5823531222225319,0.7928993648583293,0.372396322011262,0.020232231211490197,-0.06111317525501801,-0.02340538052454989,0.0005685093906756311,0.0011715667250549817,0.0028141399052589804,-0.0002999317012722146,1.795817430572282e-05,-0.0014769523799771415,0.0005685093906756311,-0.005290427854112021,0.06831094955981609,0.01607549113963938,-0.0081027722026929,0.015195808100094233,-0.0027076059411841316,-0.03546695703155056,0.06382239402039579,-0.020346616427297102,0.06273709373965457,0.005401569648986599,0.027537811980380616,0.011676327267591487,0.027537811980380616,0.46233269487704376,0.12557758741143013,0.5,0.1798128463540399,0.8254306505487191,0.13367952473597122,0.35119217324862917,0.43177587952706575,0.6575896049739893,-0.005427775319484571,-0.34983662589963416,0.12312143792418617,0.7311237393296189,0.13047685785521004,0.17846070485232535,0.38520007133629586,0.05959141124593477,0.2618828369511562,0.7200245889465762,0.103764738328632,0.2454252063919593,0.8254306505487191,-0.02670736559158804,0.0,0.02670736559158804,0.46233269487704387,0.4890400604686319
3,2015-09-24,2017-10-12,2017-10-13,2018-01-11,504,63,10426,1383,-2.2471115530811083,-0.40147664225799795,-0.15038506642039873,0.2148074759192726,0.48734634851771513,0.8811935694010292,0.36507936507936506,62,1.034277143043982,0.9999999999989999,1.9999999999979998,1.9999999999979998,1.9682539682539681,0.0,,,,0.04439987915734959,0.2017353579175705,0.05856832971800434,0.2653651482284888,0.0368763557483731,0.3658712942877802,0.07158351409978309,0.051821100310262484,0.0418551982081157,0.05652433092844552,0.09043528539287794,0.03359683794463043,0.012121675024591876,-0.010803041212719161,-0.03227820413275771,0.007421221152912896,-0.0025446809492338865,0.012124451771095932,0.046035406235528355,0.09182693058779423,0.25687663702183877,0.21300585742245273,0.16933612685869256,0.7146387545904199,2.452392150948043,-0.03969942528567061,-0.038144399998848236,0.11332092017583306,-0.0031259405411509476,-0.0013941650085567332,-0.0012970301402481029,-0.0012130614260545114,-0.004094544153716293,-0.0024238688425228016,-0.0031259405411509476,-0.006558444256752639,-0.005252232051665891,0.0169212437910482,-0.03429147398702642,-0.03942730885240263,0.013093585161972919,0.18291341695968227,-0.10776278289105302,-0.03251013765981685,0.06376588600277838,-0.043709650433316934,-0.08644745152884745,-0.08537762262656183,-0.08644745152884745,0.48800226271218927,0.11081041708164455,0.5,0.19341550993384032,0.8451355602417435,0.10665238135787292,0.3017682986453797,0.39720074060732846,0.6675846516263018,0.0402734899170922,0.19245041230375026,0.10828114660608198,0.743752355984622,0.12588233403545432,0.1692530222222084,0.3947337813686772,0.04905002200967181,0.265850762028147,0.728183110781716,0.08350170962896546,0.32604550681113775,0.8404446047808597,-0.005851677996415228,0.0,0.005851677996415228,0.48800226271218927,0.4938539407086045
4,2015-12-31,2018-01-11,2018-01-12,2018-04-17,504,63,10612,1386,-5.215422043205807,-0.7466897876422867,-0.32567094235830574,0.26636821835116187,0.5634920634920635,0.699668878676316,0.38095238095238093,61,0.7842446691876096,0.9999999999989999,1.949999999998099,1.9999999999979998,1.873015873015873,0.0,,,,0.040355516491505,0.37445887445887444,0.15151515151515152,0.22294372294372294,0.06637806637806638,0.1443001443001443,0.04040404040404041,0.0399471923496134,0.016240859497358952,0.048590034060992736,0.03769840520966722,0.0449999999999625,0.07691069159290272,0.004644483508457503,0.03655517510139772,-0.00040832414189159727,-0.024114656994146045,0.008234517569487738,-0.002657111281837779,0.31184999999974017,0.10667978534983463,0.21794753141921014,1.9035396169243421,0.10718967268256908,0.567934669789117,0.036963499243289316,-0.16491724524128606,-0.00225038790808465,-0.006341136979717002,-0.005413861193228281,-0.006157885219552247,-0.004357359853507106,-0.007076951328237586,-0.005925837418012158,-0.006341136979717002,-0.024738334704654245,-0.06864078872851495,-0.08587359618610454,-0.04710741381331665,-0.07086773517443327,-0.0006703866336835902,-0.016592069183668855,-0.49111340475882265,-0.06606422331531943,-0.3851805964852456,-0.13660557173711294,0.025511225968444663,0.0317527510911146,0.025511225968444663,0.49677762896602534,0.11416250485893535,0.5,0.22984928889963485,0.8234970687535522,0.13501662988520435,0.313398893149592,0.40339370673945163,0.6663461375877492,0.0914619649856761,-0.09804169984541167,0.10417645390375499,0.7459501331233185,0.11643640122121314,0.15609140081996353,0.40063937899598717,0.04943619820159454,0.26521134678857633,0.7257324012646672,0.16319474610205673,0.167892169927198,0.3321243201228484,0.07902871121710758,0.07902871121710758,0.0,0.49677762896602534,0.41774891774891776
5,2016-04-04,2018-04-17,2018-04-18,2018-07-16,504,63,10707,1386,-4.332450125972888,-0.8709486173969786,-0.3958257738038423,0.43613131974369074,0.5591630591630592,0.6071844992429013,0.3968253968253968,61,0.2537858978219798,0.037134866539319966,0.9999999999989999,0.9999999999989999,1.8253968253968254,0.0,,,,0.025012152033294783,0.1414141414141414,0.10101010101010101,0.28715728715728717,0.05772005772005772,0.33694083694083693,0.07575757575757576,0.01326324790065921,0.020310444607944678,0.026543460265371452,0.007236459089425082,0.038422524080508266,0.001307154534627695,0.013410372047213483,-0.02370499749866709,-0.011748904132635574,-0.004701707425350105,0.001531308232076669,-0.0177756929438697,0.11403344405906736,0.09379011015466156,0.0924352661502634,0.017254439857085573,0.2010734016186523,0.12537165372428954,-0.011956093366031515,-0.36280543371762775,-0.0018231589375197464,-0.00536846171355411,-0.0026235837901389886,-0.0075382496951434995,-0.008961309150368506,-0.0038826258040402296,-0.009383014100906018,-0.00536846171355411,-0.10580453301733304,-0.052695060040853677,-0.08020239168904046,-0.013382960821615605,-0.2034737677167041,-0.0008320729427369186,-0.010983362844127325,-0.6038857431592118,-0.7481891977654266,-0.2792977760829399,-0.2997776473501521,-0.0804151241587256,-0.08766270021372755,-0.0804151241587256,0.48822327985976094,0.1070511680494439,0.5,0.2348480382984635,0.8209243325081718,0.07952594152591341,0.26195471823374594,0.38279589648305923,0.6691338988742591,0.4157500934490523,1.2674112187142708,0.10636934586209834,0.7676083590129265,0.12190721989868529,0.15881434649211992,0.4031705729867262,0.0493970821136402,0.2520912958614385,0.6986242959897829,0.13594271176520245,0.15730380549101008,0.29527047834874487,0.025741317377798445,0.025741317377798445,0.0,0.48822327985976094,0.4624819624819625
6,2016-07-05,2018-07-16,2018-07-17,2018-10-19,504,63,10770,1463,1.8591058775495168,0.6091032569646764,-0.1164637668851336,0.28489866912837464,0.5734791524265208,1.1302278837587458,0.42857142857142855,60,0.7940960742235564,0.9999999999989999,1.499999999999,1.9999999999979998,1.2698412698412698,0.0,,,,0.026683922074512,0.10457963089542037,0.15789473684210525,0.25153793574846206,0.0758714969241285,0.32604237867395763,0.08407382091592618,0.024775261376124093,0.04116916373722445,0.024456521739118203,0.02242862335326418,0.021856808679239788,0.03107814023544733,-0.004827113395272212,0.004394218160935329,-0.001908660698387906,0.01448524166271245,-0.002227400335393797,-0.0042552987212478195,0.067036710896704,0.2369033162958794,0.09722796550089655,0.36965300133706863,0.26073803700242154,0.29561329698941885,0.0063028788593232354,0.07538713266923852,0.21130548020347917,0.0028938242686455946,0.0001628860513399006,0.003193566822420738,0.0016821685328508268,-5.2947317708375585e-05,0.0024154179378333097,0.0028938242686455946,-0.005376188115664992,-0.009715164435984115,0.10157180156473589,0.005483316012758753,0.04554966671610047,0.04492881850478717,0.534397247743932,0.13970474298879454,-0.05140760270077048,0.40380311328589297,0.07387285242157748,0.02479342258381585,0.058368009735149586,0.02479342258381585,0.4166847912636899,0.09548822277827215,0.4149325844093019,0.18954644929907605,0.7233653310365259,0.1532827927578636,0.21680209744703777,0.288217407020055,0.6600839799707183,0.013081559060731765,-0.3300823441356364,0.09303111159989627,0.7373287459960677,0.11718587518002019,0.15893300758476903,0.37335258256203097,0.0569141733907772,0.24713678361853111,0.6875406381803194,0.06947492869899928,0.1473674642183676,0.381817633906854,-0.11031452520931073,0.0,0.11031452520931073,0.41668479126368996,0.5269993164730007
7,2016-10-06,2018-10-19,2018-10-22,2019-01-21,504,63,10910,1512,1.0756192346239006,0.23674560384984233,-0.09647388815810964,0.21885393384113394,0.576058201058201,1.0543653879360422,0.4603174603174603,61,0.7508274180601544,0.9999999999989998,1.8828236170512203,1.9999999999979998,1.7301587301587302,0.0,,,,0.03515355688334748,0.0958994708994709,0.13822751322751323,0.37037037037037035,0.057539682539682536,0.29894179894179895,0.03902116402116402,0.04482758620685172,0.03752985628632773,0.0464427527278232,0.04109481202343821,0.015486725663702433,0.037716065596131935,-0.019666831219645048,0.0025625087127844545,0.009674029323504238,0.0023762994029802517,0.01128919584447572,0.00594125514009073,0.05180515310512849,0.4674435196190331,0.12539543236512266,0.9665540878195168,0.27150785983218917,0.7141994917176848,-0.007111520610719783,0.046852151721340864,0.48344467541246144,0.00041701884783206097,-0.000655634603976829,0.002532840933241341,0.0010532529090013871,0.00034654723647103286,0.0007379400813476383,0.00041701884783206097,0.0007538584408271765,0.0034793262943690183,0.04054636677912783,0.010288114570086207,-0.00706020238799897,0.05814553884453603,1.4901026225921776,-0.02361731418286381,0.007860923879522006,0.10947519030364515,0.026573153872390395,0.09143547628754368,0.10230546792686737,0.09143547628754368,0.4208152929885848,0.10369932716179288,0.4118901714540423,0.20462825345631117,0.7409382909697675,0.15313442878061811,0.2549388481016671,0.3513144916541129,0.6581320116058819,0.3017152890428468,-0.1762402670350105,0.10251872419194294,0.717410685844934,0.11587673809109642,0.1615207863184537,0.3671087971716877,0.0534012203461852,0.2558959698399094,0.7071989335793969,0.06896651292150736,0.11673191686509411,0.22480481801499036,-0.11489899272570092,0.0,0.11489899272570092,0.4208152929885848,0.5357142857142857
8,2017-01-09,2019-01-21,2019-01-22,2019-04-26,504,63,11099,1512,2.796304176722926,0.9532767006982164,-0.06307724251910984,0.25839039654146895,0.5376984126984127,1.188038116757305,0.49206349206349204,62,0.6972046053331005,0.9999999999989999,1.4997052788251592,1.9999999999979998,1.8412698412698412,0.0,,,,0.03261048813909509,0.1593915343915344,0.017857142857142856,0.3888888888888889,0.03306878306878307,0.34656084656084657,0.05423280423280423,0.01895343466424058,0.10975040327558919,0.03176376959902166,0.07959856076364541,0.028350207884722516,0.051993730851064415,-0.004260280254372573,0.019383242711969326,-0.013657053474854509,0.0771399151364941,-0.0008467185400734267,0.04698807262455032,0.0818044166444665,0.11891117515490356,0.08167826468319855,0.9587136713025537,6.146022583432995,2.4070604774926374,0.03304029618682383,-0.14760483882432152,0.10585523176214294,0.0028514864301213754,0.005569450767861163,0.004299516101604949,0.0028713678316981944,-0.0004821170120176376,0.00186798469263079,0.0028514864301213754,-0.014558951584744129,0.12927091269488727,0.10276256034199388,0.010858879497039137,-0.03885366974056207,0.03507869519587196,0.6468169162946147,-0.11211211573994247,-0.09134080828271006,0.2642465837365557,0.08792308931767451,0.14806257528070296,0.14993081239342165,0.14806257528070296,0.44047283378283775,0.09856502548990435,0.4357930688904916,0.20388960614317997,0.7438286458795245,0.1281881240839114,0.23924847235037955,0.32761862126282654,0.6659588641776477,0.17517800240960307,0.01581655757641931,0.09509975790896077,0.7526897278966234,0.12349303682089323,0.16406898120667598,0.3854981442695308,0.05377489510647046,0.25041633435951083,0.6949169321705431,0.048970806139390526,0.08597404284963624,0.2190749491389925,-0.09722557891557493,0.0,0.09722557891557493,0.44047283378283775,0.5376984126984127
9,2017-04-12,2019-04-26,2019-04-30,2019-07-29,504,63,11288,1539,-0.7573293278923388,-0.3732796453696936,-0.2641671384933618,0.4666860309556713,0.5724496426250812,0.8912461173920245,0.4126984126984127,62,0.7203983630138452,0.5910923091327919,1.88549039991117,1.9999999999979998,1.9682539682539681,0.0,,,,0.026300757500878964,0.38921377517868744,0.11241065627030539,0.2586094866796621,0.03378817413905133,0.1695906432748538,0.036387264457439894,0.045517258803629806,0.04041118906740567,0.008136173077355757,0.037030612587657094,0.0033595861689736948,0.0032187737923106198,-0.02294117133190527,-0.023081983708568343,0.019216501302750842,0.014110431566526707,-0.018164584423523207,0.01072985508677813,0.019809973617051786,0.11694667996458477,0.031461232075503796,0.08845880118510793,0.3594960692181349,1.0959637071616206,-0.042298485011319185,-0.07174527034872052,-0.006340897511386476,-0.00845744093772032,0.0006121153781062322,-0.004192418676626627,-0.0012607653815861156,-0.0032199939920371655,-0.0023588147461780853,-0.00845744093772032,0.04835161994920607,-0.009843084318600839,-0.1253401884482707,0.05740856122835091,-0.011936845576331288,-0.0016137205045823296,-0.04434849743843224,-0.0703862273638845,0.12422895342542262,-0.4846697236730869,-0.052304518364216436,-0.032089540962549554,-0.0018596885031131603,-0.032089540962549554,0.49764881285719853,0.09532482415193945,0.5,0.23859929980683492,0.8355416020570507,0.10346974217139104,0.25185909970373116,0.34478413998813373,0.674538490724376,0.35025571793338284,0.583161450189047,0.09178659918169098,0.7489857697719754,0.12137877160623775,0.16205751364679305,0.395985149676882,0.04166534508164988,0.25470011447762525,0.7036681305746479,0.16851646213018764,0.22208658101170392,0.32026373883127235,0.0571030038903369,0.0571030038903369,0.0,0.4976488128571985,0.4405458089668616
10,2017-07-13,2019-07-29,2019-07-30,2019-11-04,504,63,11504,1575,1.5680654233243019,0.6335775963803436,-0.1123967592222831,0.3758279592643116,0.5276190476190477,1.1392101708726807,0.5396825396825397,62,0.780410883118422,0.7874412756742546,1.9974723979535052,1.9999999999979998,1.9682539682539681,0.0,,,,0.032630062593533106,0.22920634920634922,0.1726984126984127,0.21523809523809523,0.08507936507936507,0.2088888888888889,0.08888888888888889,0.07024453904259569,0.04361879753536027,0.02513753456892486,0.018871008576838617,0.007961755904736204,0.0035714285714249995,-0.024668306688796902,-0.029058634022108107,0.03761447644906258,0.010988734941827165,-0.007492528024608244,-0.01375905401669449,0.038114788905652036,0.30646855676478724,0.11678943051934118,0.04017857142853124,0.2525720813168839,0.22180476498896137,-0.0666731104711707,-0.16826257628174615,-0.034941602649355086,0.0008755391797114609,0.0020987937054582303,0.0030982360242689973,0.003617986669994409,0.0019777228378462333,0.001424909186701944,0.0008755391797114609,0.13574764421972102,0.010452468773269195,0.07634727000481238,-0.00398832706236071,-0.013376044661300903,-0.008686418627455034,-0.09772220955886912,-0.06403425635729156,0.5922508023436581,0.3547107677214735,0.07166957293468179,0.04030587617414563,0.05434441422135703,0.04030587617414563,0.44581397200455836,0.11888949586308394,0.4373752452484665,0.20350189304477206,0.8317404949854583,0.14297255466262299,0.3084620891094735,0.401140668900687,0.6579433311010772,0.3041261362757226,-0.11799441056826598,0.115025618050121,0.6867682894043035,0.12205148074818123,0.1777185735437346,0.35899163820988017,0.052071423303598846,0.2572478886408415,0.7090126440824223,0.08932442746170527,0.12013180959605287,0.16825950501454168,-0.06783682164623533,0.0,0.06783682164623533,0.44581397200455836,0.5136507936507937
