Date,Feature,IC,PValue,N_Stocks,Rolling_IC,Rolling_ICIR
2015-01-16,Momentum,0.16883116883116883,0.4644227731653937,21,,
2015-01-19,Momentum,-0.016883116883116882,0.9420962008546323,21,,
2015-01-20,Momentum,-0.06883116883116883,0.7668778725128099,21,,
2015-01-21,Momentum,-0.06753246753246753,0.7711624988673799,21,,
2015-01-22,Momentum,-0.2987012987012987,0.1884184241053723,21,,
2015-01-23,Momentum,-0.48441558441558447,0.026056161788623716,21,,
2015-01-27,Momentum,-0.42987012987012985,0.051781881711895524,21,,
2015-01-28,Momentum,-0.3233766233766234,0.15274203753826296,21,,
2015-01-29,Momentum,-0.3220779220779221,0.15449229891803312,21,,
2015-01-30,Momentum,-0.40259740259740256,0.0703857991458909,21,,
2015-02-02,Momentum,0.18181818181818182,0.43023793249590314,21,,
2015-02-03,Momentum,-0.09220779220779221,0.6909811745118994,21,,
2015-02-04,Momentum,-0.5194805194805194,0.015801475731140078,21,,
2015-02-05,Momentum,-0.125974025974026,0.5863643592427877,21,,
2015-02-06,Momentum,-0.17662337662337665,0.4437478469481736,21,,
2015-02-09,Momentum,0.00909090909090909,0.968803151925576,21,,
2015-02-10,Momentum,0.12857142857142856,0.5786044448638965,21,,
2015-02-11,Momentum,0.2701298701298701,0.2363077950605595,21,,
2015-02-12,Momentum,0.38571428571428573,0.08418819066159448,21,,
2015-02-13,Momentum,0.24545454545454545,0.28351670883126656,21,-0.09694805194805195,-0.3589163781518229
2015-02-16,Momentum,0.20779220779220778,0.3660815543839818,21,-0.08243661100803958,-0.30358645404275414
2015-02-18,Momentum,0.1922077922077922,0.40388852727689784,21,-0.06995277449822904,-0.2577570555988479
2015-02-19,Momentum,0.05584415584415584,0.8099992137199937,21,-0.0644833427442123,-0.24201376938415567
2015-02-20,Momentum,-0.10519480519480517,0.6499672847296489,21,-0.06617965367965369,-0.2538334652811773
2015-02-23,Momentum,-0.21038961038961035,0.3599844921676868,21,-0.07194805194805194,-0.28011074502535904
2015-02-24,Momentum,-0.38831168831168833,0.08194343705246765,21,-0.08411588411588412,-0.32451948015204907
2015-02-25,Momentum,-0.287012987012987,0.20714101817766584,21,-0.09163059163059162,-0.3563316331406479
2015-02-26,Momentum,-0.15324675324675324,0.5072039302125892,21,-0.09383116883116882,-0.3714448390444871
2015-02-27,Momentum,0.007792207792207793,0.9732581834484768,21,-0.09032691446484549,-0.3630851038751241
2015-03-02,Momentum,-0.051948051948051945,0.8230456679720456,21,-0.08904761904761904,-0.36412894798954426
2015-03-03,Momentum,-0.20519480519480518,0.3722373638543265,21,-0.09279430247172182,-0.38449208376248534
2015-03-04,Momentum,-0.04285714285714286,0.8536570982478849,21,-0.09123376623376624,-0.3840094497694563
2015-03-05,Momentum,-0.43376623376623374,0.04946747938154749,21,-0.10161353797717435,-0.42106877350165894
2015-03-09,Momentum,-0.3077922077922078,0.17467404944767492,21,-0.1076776165011459,-0.4481812756109124
2015-03-10,Momentum,-0.032467532467532464,0.8888886581323974,21,-0.10552875695732837,-0.44520094319204734
2015-03-11,Momentum,0.20129870129870128,0.3815806896030638,21,-0.09700577200577201,-0.4056158871164397
2015-03-12,Momentum,0.36233766233766235,0.1064906990145019,21,-0.08459108459108458,-0.341632938582786
2015-03-13,Momentum,0.29480519480519485,0.19452701576620296,21,-0.07460697197539302,-0.2962071050946239
2015-03-16,Momentum,0.3,0.18641143545847969,21,-0.065001665001665,-0.25423608631871164
2015-03-17,Momentum,0.2714285714285714,0.233974271651381,21,-0.056590909090909094,-0.21941234910359111
2015-03-18,Momentum,0.3506493506493506,0.11912829331739887,21,-0.04665821982895154,-0.1777474392898586
2015-03-19,Momentum,0.1883116883116883,0.4136637589062405,21,-0.041063698206555345,-0.1568519531161579
2015-03-20,Momentum,-0.04025974025974026,0.8624424916554133,21,-0.041045001510117786,-0.1586809586137934
2015-03-23,Momentum,-0.17012987012987013,0.4609431837520659,21,-0.04397874852420307,-0.17153876275764016
2015-03-24,Momentum,-0.14675324675324675,0.5255721976110103,21,-0.046262626262626255,-0.18220058515174553
2015-03-25,Momentum,-0.35194805194805195,0.11767322930096193,21,-0.05290796160361378,-0.20741171593942348
2015-03-26,Momentum,0.1012987012987013,0.6621759840226069,21,-0.04962696877590495,-0.19592214135299257
2015-03-27,Momentum,0.3155844155844156,0.16345354043341248,21,-0.04201839826839827,-0.16408652353480857
2015-03-30,Momentum,0.33506493506493507,0.13760998567228216,21,-0.034322820037105746,-0.13249193590232577
2015-03-31,Momentum,0.23766233766233766,0.2995610974844403,21,-0.028883116883116886,-0.11140255213178452
2015-04-01,Momentum,0.5948051948051949,0.004454414364936603,21,-0.01665393430099312,-0.06142783543811347
2015-04-06,Momentum,0.012987012987012986,0.9554439323134465,21,-0.01608391608391608,-0.05990862364044534
2015-04-07,Momentum,-0.22077922077922077,0.33618808709526804,21,-0.01994609164420485,-0.07460312217196288
2015-04-08,Momentum,-0.27662337662337666,0.22479050345941629,21,-0.024699374699374697,-0.092464788225689
2015-04-09,Momentum,-0.04675324675324675,0.840510514240316,21,-0.025100354191263278,-0.0948422389533198
2015-04-10,Momentum,-0.029870129870129873,0.8977307350801784,21,-0.025185528756957325,-0.09604089599469082
2015-04-13,Momentum,-0.087012987012987,0.7076308010268806,21,-0.02627022100706311,-0.1010336441547283
2015-04-15,Momentum,-0.21428571428571425,0.35094954850355264,21,-0.02951186744290192,-0.1139879524586418
2015-04-16,Momentum,-0.21168831168831168,0.3569580636727213,21,-0.03259960378604446,-0.12647502973706493
2015-04-17,Momentum,-0.03896103896103896,0.8668411213715635,21,-0.0327056277056277,-0.1279748778981362
2015-04-20,Momentum,-0.3103896103896104,0.17087682060108259,21,-0.04069264069264068,-0.15855692263714316
2015-04-21,Momentum,-0.2532467532467532,0.26801791447109446,21,-0.04463203463203462,-0.17293735625180204
2015-04-22,Momentum,-0.2792207792207792,0.22028859486514016,21,-0.04813852813852813,-0.18526239175308695
2015-04-23,Momentum,-0.05324675324675325,0.8186916800528405,21,-0.047900432900432895,-0.18435425450924203
2015-04-24,Momentum,0.14285714285714285,0.53674092961656,21,-0.04054112554112554,-0.15661673185026914
2015-04-27,Momentum,-0.14155844155844155,0.5404880300232261,21,-0.034826839826839824,-0.13787364970540622
2015-04-28,Momentum,-0.37792207792207794,0.09119661406939479,21,-0.033961038961038956,-0.13513689119120237
2015-04-29,Momentum,-0.32857142857142857,0.14587956444987268,21,-0.03404761904761904,-0.1354262952465341
2015-04-30,Momentum,-0.448051948051948,0.04165618995678563,21,-0.03614718614718614,-0.1421072690650927
2015-05-04,Momentum,-0.15454545454545454,0.503567858476226,21,-0.03201298701298701,-0.12790265433342737
2015-05-05,Momentum,-0.007792207792207793,0.9732581834484768,21,-0.03517316017316017,-0.14140622489184648
2015-05-06,Momentum,-0.06623376623376624,0.7754535475659065,21,-0.03474025974025973,-0.13970985027551777
2015-05-07,Momentum,0.08441558441558442,0.7160045730938805,21,-0.024675324675324673,-0.10247032030288808
2015-05-08,Momentum,-0.09480519480519481,0.6827070112424534,21,-0.024155844155844153,-0.10039171408171371
2015-05-11,Momentum,-0.43636363636363634,0.04796935978332511,21,-0.02848484848484848,-0.11593884169279019
2015-05-12,Momentum,-0.3116883116883117,0.1689996578248455,21,-0.03383116883116883,-0.13623308835900633
2015-05-13,Momentum,-0.11298701298701298,0.6258096347836315,21,-0.037857142857142846,-0.15288865071018096
2015-05-14,Momentum,-0.34285714285714286,0.12813141007326165,21,-0.04807359307359307,-0.19436603918053877
2015-05-15,Momentum,-0.5285714285714286,0.013763170931280442,21,-0.0633116883116883,-0.25496079949421857
2015-05-18,Momentum,-0.348051948051948,0.12207717550592738,21,-0.0732034632034632,-0.2956146884948675
2015-05-19,Momentum,-0.3896103896103896,0.08083791705627731,21,-0.08316017316017316,-0.33511895180602735
2015-05-20,Momentum,-0.212987012987013,0.353946406990143,21,-0.08991341991341992,-0.36545004987322777
2015-05-21,Momentum,-0.35584415584415585,0.11338490933316321,21,-0.09677489177489178,-0.3907943392007789
2015-05-22,Momentum,0.03506493506493507,0.8800592616595698,21,-0.09443722943722944,-0.38046256135526824
2015-05-25,Momentum,-0.2545454545454545,0.26548784934396463,21,-0.09517316017316017,-0.3827878669006742
2015-05-26,Momentum,-0.24545454545454545,0.28351670883126656,21,-0.0927922077922078,-0.3765133359833718
2015-05-27,Momentum,-0.15584415584415584,0.49994447453115,21,-0.09060606060606059,-0.36940111227473266
2015-05-28,Momentum,-0.1883116883116883,0.4136637589062405,21,-0.09119047619047618,-0.37149073862582144
2015-05-29,Momentum,-0.01818181818181818,0.9376501036584044,21,-0.09162337662337662,-0.3734896084985673
2015-06-01,Momentum,0.06753246753246753,0.7711624988673799,21,-0.08963203463203463,-0.3641681025492848
2015-06-02,Momentum,0.40389610389610386,0.06939949544788356,21,-0.07948051948051947,-0.3132549195465529
2015-06-03,Momentum,-0.16753246753246753,0.46791573870834513,21,-0.08155844155844155,-0.3211845479565264
2015-06-04,Momentum,-0.1064935064935065,0.6459166351388024,21,-0.07610389610389609,-0.3047613633445682
2015-06-05,Momentum,-0.09090909090909091,0.6951310760397713,21,-0.07248917748917748,-0.2924499746116684
2015-06-08,Momentum,-0.15064935064935067,0.514513864469408,21,-0.07445887445887446,-0.30021955188959953
2015-06-09,Momentum,-0.2961038961038961,0.19247618519439208,21,-0.08274891774891775,-0.3350811619003678
2015-06-10,Momentum,-0.44675324675324674,0.04232391972847467,21,-0.09623376623376623,-0.39389690028861646
2015-06-11,Momentum,-0.548051948051948,0.010108159690260706,21,-0.11028138528138527,-0.4488921976788491
2015-06-12,Momentum,-0.6194805194805195,0.0027458897532375575,21,-0.1256060606060606,-0.5058401613470055
2015-06-15,Momentum,-0.6363636363636362,0.0019262960071318898,21,-0.14073593073593074,-0.5599250686446702
2015-06-16,Momentum,-0.5532467532467533,0.009281014982756755,21,-0.1558008658008658,-0.6270450397683947
