Feature,Historical_IC,Recent_IC,Historical_ICIR,Recent_ICIR,Decay_Score,Decay_Multiplier,Decay_Weight
Low_20,0.027236791981666363,0.11578947368421053,0.08948969909064844,0.6259068866089598,0.7363083733974312,1.0945233493589726,0.21516548734951202
Trend_Strength,0.0351236780903131,0.09025641025641026,0.13036840083892234,0.517914998161867,0.7176915606157912,1.0870766242463166,0.21370158231819325
EMA_Spread_Z,0.018773708818675572,0.06261470985155196,0.07217206505316748,0.40057733771772686,0.6819712646012868,1.0727885058405147,0.21089277064515546
EPS,0.046347027019529086,0.02397098515519568,0.16735630180556546,0.13425427382166077,0.4803513265016247,0.9921405306006499,0.19503869050479136
Value_Score,0.03248966693622696,-0.14045571420679037,0.1412622659520397,-0.9916159531323357,0.10090460598323187,0.8403618423932928,0.16520146918234804
