Date,Feature,Regime,IC,PValue,N_Stocks
2014-05-30,Return_10_Z,SIDEWAYS,0.7791537667698658,0.00013847602522646014,18
2014-05-30,Volume_Change_Z,SIDEWAYS,-0.2961816305469556,0.23271685741068457,18
2014-05-30,Volume_Ratio_Z,SIDEWAYS,-0.2198142414860681,0.3807953913501375,18
2014-05-30,Range_Position_Z,SIDEWAYS,0.5748194014447885,0.012581956389329619,18
2014-05-30,ATR_Z,SIDEWAYS,-0.6924664602683178,0.0014476080524246128,18
2014-05-30,Gap_Z,SIDEWAYS,-0.2280701754385965,0.3627002084947103,18
2014-05-30,EMA_Spread_Z,SIDEWAYS,0.7358101135190918,0.0005000834138759303,18
2014-05-30,EPS,SIDEWAYS,-0.5087719298245614,0.031068538407296162,18
2014-05-30,PE,SIDEWAYS,-0.49226006191950467,0.03796502128315261,18
2014-05-30,PE_Change,SIDEWAYS,-0.07739938080495357,0.7601672386317742,18
2014-05-30,PE_Z,SIDEWAYS,-0.49226006191950467,0.03796502128315261,18
2014-05-30,Value_Score,SIDEWAYS,0.49226006191950467,0.03796502128315261,18
2014-05-30,PE_Rank,SIDEWAYS,-0.49226006191950467,0.03796502128315261,18
2014-05-30,Value_Rank,SIDEWAYS,0.49226006191950467,0.03796502128315261,18
2014-05-30,EMA_S,SIDEWAYS,-0.7708978328173374,0.00018055675377341644,18
2014-05-30,EMA_M,SIDEWAYS,-0.7708978328173374,0.00018055675377341644,18
2014-06-02,Return,SIDEWAYS,0.0010319917440660476,0.9967573972800612,18
2014-06-02,Log_Return,SIDEWAYS,0.0010319917440660476,0.9967573972800612,18
2014-06-02,MA10,SIDEWAYS,-0.6057791537667698,0.00771060824931586,18
2014-06-02,EMA10,SIDEWAYS,-0.6057791537667698,0.00771060824931586,18
2014-06-02,Price_to_MA10,SIDEWAYS,0.2198142414860681,0.3807953913501375,18
2014-06-02,MA20,SIDEWAYS,-0.6305469556243549,0.0050251422192554435,18
2014-06-02,EMA20,SIDEWAYS,-0.6305469556243549,0.0050251422192554435,18
2014-06-02,Price_to_MA20,SIDEWAYS,0.6037151702786379,0.007978467211182616,18
2014-06-02,MA50,SIDEWAYS,-0.5975232198142414,0.008827374421547773,18
2014-06-02,EMA50,SIDEWAYS,-0.5975232198142414,0.008827374421547773,18
2014-06-02,Price_to_MA50,SIDEWAYS,0.543859649122807,0.019643563727791618,18
2014-06-02,MA200,SIDEWAYS,-0.5975232198142414,0.008827374421547773,18
2014-06-02,EMA200,SIDEWAYS,-0.5975232198142414,0.008827374421547773,18
2014-06-02,Price_to_MA200,SIDEWAYS,0.5459236326109391,0.019092729509875183,18
2014-06-02,ATR_14,SIDEWAYS,-0.5665634674922602,0.014226822697300039,18
2014-06-02,Momentum_ATR,SIDEWAYS,0.5995872033023736,0.008536698768223001,18
2014-06-02,Momentum_Vol,SIDEWAYS,0.5562435500515995,0.016518403054404888,18
2014-06-02,Reversal,SIDEWAYS,-0.5933952528379773,0.00943261527195847,18
2014-06-02,RSI,SIDEWAYS,0.5686274509803922,0.013800437611725471,18
2014-06-02,MACD,SIDEWAYS,0.5356037151702786,0.021973121639608087,18
2014-06-02,MACD_Signal,SIDEWAYS,0.4840041279669762,0.04182551548646378,18
2014-06-02,MACD_Hist,SIDEWAYS,0.5314757481940144,0.023216334307843867,18
2014-06-02,BB_Z10,SIDEWAYS,0.03611971104231166,0.8868532969155285,18
2014-06-02,BB_Z20,SIDEWAYS,0.5479876160990712,0.018554135699121725,18
2014-06-02,BB_Z50,SIDEWAYS,0.5995872033023736,0.008536698768223001,18
2014-06-02,BB_Z200,SIDEWAYS,0.6367389060887513,0.004489848099432227,18
2014-06-02,Close_Lag1,SIDEWAYS,-0.6057791537667698,0.00771060824931586,18
2014-06-02,Close_Lag2,SIDEWAYS,-0.5789473684210527,0.011818464080461773,18
2014-06-02,Close_Lag3,SIDEWAYS,-0.5479876160990712,0.018554135699121725,18
2014-06-02,Close_Lag5,SIDEWAYS,-0.5892672858617131,0.010070753912334262,18
2014-06-02,Return_Lag1,SIDEWAYS,0.0010319917440660476,0.9967573972800612,18
2014-06-02,Return_Lag2,SIDEWAYS,-0.40763673890608876,0.09312305169960118,18
2014-06-02,Return_Lag3,SIDEWAYS,-0.17853457172342618,0.4784449329228029,18
2014-06-02,Return_Lag5,SIDEWAYS,0.26109391124871,0.2953326016338095,18
2014-06-02,Return_Lag10,SIDEWAYS,0.3663570691434469,0.13483747906980872,18
2014-06-02,Trend_Strength,SIDEWAYS,0.4633642930856553,0.05278586195356671,18
2014-06-02,EMA_Spread,SIDEWAYS,0.5479876160990712,0.018554135699121725,18
2014-06-02,Volume_Change,SIDEWAYS,-0.0010319917440660476,0.9967573972800612,18
2014-06-02,Volume_MA,SIDEWAYS,0.283797729618163,0.253756417908756,18
2014-06-02,Volume_Ratio,SIDEWAYS,-0.1475748194014448,0.5589695952802587,18
2014-06-02,ATR,SIDEWAYS,-0.5851393188854489,0.010743066498094603,18
2014-06-02,Gap,SIDEWAYS,0.3126934984520124,0.2064536417438368,18
2014-06-02,High_20,SIDEWAYS,-0.5789473684210527,0.011818464080461773,18
2014-06-02,Low_20,SIDEWAYS,-0.5975232198142414,0.008827374421547773,18
2014-06-02,Range_Position,SIDEWAYS,0.47368421052631576,0.04706411117172419,18
2014-06-02,Return_5,SIDEWAYS,0.33952528379772956,0.1680708348883216,18
2014-06-02,Return_10,SIDEWAYS,0.5933952528379773,0.00943261527195847,18
2014-06-02,Reversal_5,SIDEWAYS,-0.33952528379772956,0.1680708348883216,18
2014-06-02,Reversal_10,SIDEWAYS,-0.5933952528379773,0.00943261527195847,18
2014-06-02,Return_Rank,SIDEWAYS,0.0010319917440660476,0.9967573972800612,18
2014-06-02,Momentum_Rank,SIDEWAYS,0.5933952528379773,0.00943261527195847,18
2014-06-02,Volatility_Rank,SIDEWAYS,0.49226006191950467,0.03796502128315261,18
2014-06-02,Vol_Regime,SIDEWAYS,0.4604530057789855,0.054490937191998934,18
2014-06-02,Return_Z,SIDEWAYS,0.0010319917440660476,0.9967573972800612,18
2014-06-02,Momentum_ATR_Z,SIDEWAYS,0.5995872033023736,0.008536698768223001,18
2014-06-02,Momentum_Vol_Z,SIDEWAYS,0.5562435500515995,0.016518403054404888,18
2014-06-02,Volatility_Z,SIDEWAYS,0.49226006191950467,0.03796502128315261,18
2014-06-02,RSI_Z,SIDEWAYS,0.5686274509803922,0.013800437611725471,18
2014-06-02,MACD_Z,SIDEWAYS,0.5356037151702786,0.021973121639608087,18
2014-06-02,MACD_Hist_Z,SIDEWAYS,0.5314757481940144,0.023216334307843867,18
2014-06-02,Trend_Strength_Z,SIDEWAYS,0.4633642930856553,0.05278586195356671,18
2014-06-02,Return_5_Z,SIDEWAYS,0.33952528379772956,0.1680708348883216,18
2014-06-02,Return_10_Z,SIDEWAYS,0.5933952528379773,0.00943261527195847,18
2014-06-02,Volume_Change_Z,SIDEWAYS,-0.0010319917440660476,0.9967573972800612,18
2014-06-02,Volume_Ratio_Z,SIDEWAYS,-0.1475748194014448,0.5589695952802587,18
2014-06-02,Range_Position_Z,SIDEWAYS,0.47368421052631576,0.04706411117172419,18
2014-06-02,ATR_Z,SIDEWAYS,-0.5851393188854489,0.010743066498094603,18
2014-06-02,Gap_Z,SIDEWAYS,0.3126934984520124,0.2064536417438368,18
2014-06-02,EMA_Spread_Z,SIDEWAYS,0.5479876160990712,0.018554135699121725,18
2014-06-02,EPS,SIDEWAYS,-0.4324045407636739,0.0731081920707255,18
2014-06-02,PE,SIDEWAYS,-0.2672858617131063,0.28360817850986736,18
2014-06-02,PE_Change,SIDEWAYS,-0.3333333333333333,0.17646319681352732,18
2014-06-02,PE_Z,SIDEWAYS,-0.2672858617131063,0.28360817850986736,18
2014-06-02,Value_Score,SIDEWAYS,0.2672858617131063,0.28360817850986736,18
2014-06-02,PE_Rank,SIDEWAYS,-0.2672858617131063,0.28360817850986736,18
2014-06-02,Value_Rank,SIDEWAYS,0.2672858617131063,0.28360817850986736,18
2014-06-02,EMA_S,SIDEWAYS,-0.6057791537667698,0.00771060824931586,18
2014-06-02,EMA_M,SIDEWAYS,-0.6057791537667698,0.00771060824931586,18
2014-06-03,Return,SIDEWAYS,-0.24458204334365324,0.3280041243603068,18
2014-06-03,Log_Return,SIDEWAYS,-0.24458204334365324,0.3280041243603068,18
2014-06-03,MA10,SIDEWAYS,-0.23839009287925697,0.340779724454077,18
2014-06-03,EMA10,SIDEWAYS,-0.23839009287925697,0.340779724454077,18
2014-06-03,Price_to_MA10,SIDEWAYS,-0.23632610939112486,0.34510124880977866,18
2014-06-03,MA20,SIDEWAYS,-0.2714138286893705,0.27595238461589006,18
2014-06-03,EMA20,SIDEWAYS,-0.25696594427244585,0.30330908061762435,18
2014-06-03,Price_to_MA20,SIDEWAYS,0.18059855521155832,0.4732892668249995,18
2014-06-03,MA50,SIDEWAYS,-0.2425180598555212,0.3322310909053102,18
2014-06-03,EMA50,SIDEWAYS,-0.2425180598555212,0.3322310909053102,18
2014-06-03,Price_to_MA50,SIDEWAYS,0.11661506707946334,0.6449317151979074,18
2014-06-03,MA200,SIDEWAYS,-0.2425180598555212,0.3322310909053102,18
2014-06-03,EMA200,SIDEWAYS,-0.2425180598555212,0.3322310909053102,18
2014-06-03,Price_to_MA200,SIDEWAYS,0.054695562435500514,0.8293348337875046,18
2014-06-03,ATR_14,SIDEWAYS,-0.22187822497420018,0.3762254210655622,18
2014-06-03,Momentum_ATR,SIDEWAYS,0.24458204334365324,0.3280041243603068,18
2014-06-03,Momentum_Vol,SIDEWAYS,0.19711042311661509,0.433057670392028,18
2014-06-03,Reversal,SIDEWAYS,-0.25696594427244585,0.30330908061762435,18
2014-06-03,RSI,SIDEWAYS,0.06707946336429307,0.7914253837974394,18
2014-06-03,MACD,SIDEWAYS,0.23219814241486067,0.3538383254251315,18
2014-06-03,MACD_Signal,SIDEWAYS,0.20123839009287925,0.42328766928815786,18
2014-06-03,MACD_Hist,SIDEWAYS,0.13519091847265222,0.5927498112228585,18
2014-06-03,BB_Z10,SIDEWAYS,-0.17647058823529413,0.48362814549353283,18
2014-06-03,BB_Z20,SIDEWAYS,0.08978328173374613,0.7231227825767574,18
2014-06-03,BB_Z50,SIDEWAYS,0.09184726522187822,0.717002841661774,18
2014-06-03,BB_Z200,SIDEWAYS,0.16615067079463364,0.509950460343896,18
2014-06-03,Close_Lag1,SIDEWAYS,-0.23839009287925697,0.340779724454077,18
2014-06-03,Close_Lag2,SIDEWAYS,-0.23839009287925697,0.340779724454077,18
2014-06-03,Close_Lag3,SIDEWAYS,-0.20743034055727552,0.4088537259590216,18
2014-06-03,Close_Lag5,SIDEWAYS,-0.19504643962848298,0.43798642970216684,18
2014-06-03,Return_Lag1,SIDEWAYS,-0.24458204334365324,0.3280041243603068,18
2014-06-03,Return_Lag2,SIDEWAYS,0.005159958720330237,0.9837879533049654,18
2014-06-03,Return_Lag3,SIDEWAYS,-0.09597523219814243,0.7048123642968973,18
2014-06-03,Return_Lag5,SIDEWAYS,0.01547987616099071,0.9513880221541826,18
2014-06-03,Return_Lag10,SIDEWAYS,0.07533539731682146,0.7663922813478388,18
2014-06-03,Trend_Strength,SIDEWAYS,0.03199174406604747,0.8997186782888817,18
2014-06-03,EMA_Spread,SIDEWAYS,0.10216718266253869,0.6866550541678016,18
2014-06-03,Volume_Change,SIDEWAYS,-0.5294117647058824,0.023858231279662807,18
