YEAR,TICKER,COMPANY,SALES,EXPENSES,OPERATING_PROFIT,OPM_PERCENT,OTHER_INCOME,INTEREST,DEPRECIATION,PBT,TAX_PERCENT,NET_PROFIT,EPS,DIVIDEND_PAYOUT_PERCENT,NET_CASH_FLOW,FREE_CASH_FLOW
01-03-2019,CDSL,Central Depository,196,109,87,,49,0,10,148,,115,5.43,,,
01-03-2020,CDSL,Central Depository,225,89,136,,59,0,12,136,,107,5.08,,,
01-03-2021,CDSL,Central Depository,344,212,132,,57,0,9,260,,201,9.59,,,
01-03-2022,CDSL,Central Depository,551,365,186,,55,0,11,409,,312,14.89,,,
01-03-2023,CDSL,Central Depository,555,319,236,,66,0,19,365,,276,13.2,,,
01-03-2024,CDSL,Central Depository,812,488,324,,95,0,27,556,,420,20.05,,,
01-03-2025,CDSL,Central Depository,1082,625,457,,119,0,49,695,,526,25.2,,,
01-03-2026,CDSL,Central Depository,1107,576,531,,120,0,63,633,,476,22.79,,,
01-03-2015,COALINDIA,Coal India,74120,17343,56777,,6570,9,2320,21584,,13727,21.73,,,
01-03-2016,COALINDIA,Coal India,77861,18714,59147,,5939,388,2826,21440,,14267,22.59,,,
01-03-2017,COALINDIA,Coal India,78164,12448,65716,,5316,410,2907,14446,,9280,14.95,,,
01-03-2018,COALINDIA,Coal India,85244,9288,75956,,4975,430,3063,10770,,7038,11.34,,,
01-03-2019,COALINDIA,Coal India,99586,25007,74579,,5834,264,3450,27127,,17464,28.34,,,
01-03-2020,COALINDIA,Coal India,96080,21581,74500,,6444,503,3451,24071,,16700,27.12,,,
01-03-2021,COALINDIA,Coal India,90026,18628,71398,,3742,642,3718,18009,,12702,20.61,,,
01-03-2022,COALINDIA,Coal India,109715,24721,84995,,3866,541,4429,23616,,17378,28.17,,,
