iter	Logloss
331	0.2565932339
332	0.2562603548
333	0.255980627
334	0.2556773473
335	0.2554401325
336	0.2553776204
337	0.2551806034
338	0.2550662174
339	0.2548675038
340	0.2548534126
341	0.2543959084
342	0.2542589685
343	0.2540266038
344	0.2538158749
345	0.2536037487
346	0.2533478322
347	0.2531228524
348	0.2529039202
349	0.2525098463
350	0.2522287612
351	0.2520583498
352	0.251859237
353	0.2516710619
354	0.2514682368
355	0.2513296603
356	0.2511597877
357	0.250994885
358	0.250757291
359	0.2504518358
360	0.2503407031
361	0.2500750864
362	0.2498489889
363	0.2498174733
364	0.2496990955
365	0.2495230156
366	0.249361985
367	0.249055951
368	0.2487745865
369	0.248619384
370	0.2484229458
371	0.2484118285
372	0.2481492256
373	0.2479857201
374	0.2478717732
375	0.2478060476
376	0.2477947108
377	0.247634758
378	0.2475295731
379	0.2473500603
380	0.2471686314
381	0.2468413408
382	0.2466392143
383	0.2463983869
384	0.2461331095
385	0.2458254588
386	0.2457096556
387	0.2454668722
388	0.2453302716
389	0.2452067643
390	0.2450133798
391	0.2448409525
392	0.2447159482
393	0.244441789
394	0.2443119546
395	0.2441127221
396	0.2440097727
397	0.243706992
398	0.2435391952
399	0.2434109575
