Date,Feature,IC,PValue,N_Stocks,Rolling_IC,Rolling_ICIR
2015-01-16,Momentum,0.13834586466165413,0.5607873732874131,20,,
2015-01-19,Momentum,-0.019548872180451125,0.9348031235214638,20,,
2015-01-20,Momentum,-0.11578947368421053,0.6268789936728246,20,,
2015-01-21,Momentum,-0.15789473684210525,0.5061465835201626,20,,
2015-01-22,Momentum,-0.28421052631578947,0.2245845982112046,20,,
2015-01-23,Momentum,-0.42255639097744363,0.06344083999820867,20,,
2015-01-27,Momentum,-0.4330827067669173,0.05646561004225938,20,,
2015-01-28,Momentum,-0.34586466165413526,0.13525234313351656,20,,
2015-01-29,Momentum,-0.29473684210526313,0.2071354208521537,20,,
2015-01-30,Momentum,-0.43909774436090226,0.05275071743383972,20,,
2015-02-02,Momentum,0.10827067669172932,0.6495672222012883,20,,
2015-02-03,Momentum,-0.11127819548872178,0.6404548402871416,20,,
2015-02-04,Momentum,-0.5353383458646617,0.014997129643632595,20,,
2015-02-05,Momentum,-0.11428571428571428,0.6313917305184382,20,,
2015-02-06,Momentum,-0.16541353383458643,0.4858377042773382,20,,
2015-02-09,Momentum,0.012030075187969924,0.9598534442846784,20,,
2015-02-10,Momentum,0.15789473684210525,0.5061465835201626,20,,
2015-02-11,Momentum,0.26616541353383455,0.2566708454025406,20,,
2015-02-12,Momentum,0.3669172932330827,0.1115351994023919,20,,
2015-02-13,Momentum,0.22105263157894736,0.34897375430214644,20,-0.10842105263157895,-0.41457838447026385
2015-02-16,Momentum,0.18496240601503755,0.43498614362285254,20,-0.09445041174364482,-0.35937796060793986
2015-02-18,Momentum,0.1518796992481203,0.5226819111403138,20,-0.08325358851674641,-0.3179995382618218
2015-02-19,Momentum,0.12481203007518797,0.6000744184144978,20,-0.07420725727361883,-0.28603072509774413
2015-02-20,Momentum,-0.06616541353383458,0.781663912108574,20,-0.07387218045112783,-0.29113251637891
2015-02-23,Momentum,-0.19849624060150375,0.40150360700389714,20,-0.07885714285714285,-0.31587635136783976
2015-02-24,Momentum,-0.31879699248120297,0.17069787214002413,20,-0.0880855986119144,-0.3536340028853742
2015-02-25,Momentum,-0.1744360902255639,0.4620108862392818,20,-0.0912837649679755,-0.37286914061200066
2015-02-26,Momentum,-0.13383458646616542,0.5737559530736435,20,-0.0928034371643394,-0.3860815170825818
2015-02-27,Momentum,-0.04962406015037594,0.8354138453754827,20,-0.09131449312937515,-0.3866351799731945
2015-03-02,Momentum,-0.006015037593984962,0.9799209119891912,20,-0.08847117794486216,-0.38037131330007046
2015-03-03,Momentum,-0.18646616541353384,0.4311949104342509,20,-0.09163230657288382,-0.3995155689524449
2015-03-04,Momentum,0.0015037593984962405,0.9949797739432688,20,-0.08872180451127819,-0.3921773390524829
2015-03-05,Momentum,-0.362406015037594,0.1163446491875469,20,-0.09701526543631807,-0.42605545608323
2015-03-09,Momentum,-0.34285714285714286,0.13891001088101343,20,-0.10424590888987174,-0.4569013558087016
2015-03-10,Momentum,-0.09172932330827067,0.7005157258604466,20,-0.10388829215896885,-0.46216099051680903
2015-03-11,Momentum,0.1413533834586466,0.5522144386322418,20,-0.09707602339181287,-0.43088914603150325
2015-03-12,Momentum,0.28120300751879695,0.22974103217104475,20,-0.08685226579963422,-0.37650220969908893
2015-03-13,Momentum,0.2781954887218045,0.23497379059889353,20,-0.07724574594380688,-0.3285334735980329
2015-03-16,Momentum,0.31127819548872177,0.18157577037037334,20,-0.06728359359938307,-0.2801088894013239
2015-03-17,Momentum,0.26766917293233083,0.2538915426582106,20,-0.058909774436090225,-0.24247861266334889
2015-03-18,Momentum,0.4015037593984962,0.07931658537453376,20,-0.047680176049880806,-0.19038811446299586
2015-03-19,Momentum,0.2556390977443609,0.27666444989581596,20,-0.04045828857858933,-0.16070653851938743
2015-03-20,Momentum,-0.030075187969924807,0.8998365956859304,20,-0.040216821122573874,-0.16168051953946738
2015-03-23,Momentum,-0.16240601503759397,0.49391254436303184,20,-0.042993848257006154,-0.17440142802046804
2015-03-24,Momentum,-0.15037593984962402,0.5268549482529813,20,-0.04538011695906433,-0.18580893261599027
2015-03-25,Momentum,-0.3443609022556391,0.13707258150434387,20,-0.0518796992481203,-0.2113300042440932
2015-03-26,Momentum,0.0706766917293233,0.7671582206450904,20,-0.049272116461366186,-0.20237818672796387
2015-03-27,Momentum,0.28721804511278193,0.2195043134627025,20,-0.04226190476190476,-0.17199947053702444
2015-03-30,Momentum,0.29774436090225564,0.2023199860189742,20,-0.035323001381003534,-0.1424654453818654
