Date,Feature,IC,PValue,N_Stocks
2015-01-05,Trend_Strength,-0.12481203007518797,0.6000744184144978,20
2015-01-05,Volume_Change,-0.19248120300751878,0.41620647341979894,20
2015-01-05,Return_Rank,-0.12481203007518797,0.6000744184144978,20
2015-01-06,Trend_Strength,0.03157894736842105,0.8948543863933639,20
2015-01-06,Volume_Change,0.28872180451127816,0.2169926666873039,20
2015-01-06,Return_Rank,0.09172932330827067,0.7005157258604466,20
2015-01-07,Trend_Strength,0.006015037593984962,0.9799209119891912,20
2015-01-07,Volume_Change,-0.08721804511278194,0.7146383646582314,20
2015-01-07,Return_Rank,0.010526315789473682,0.9648685868194994,20
2015-01-08,Trend_Strength,-0.09774436090225563,0.681832438507082,20
2015-01-08,Return_5,-0.09624060150375939,0.6864870716570238,20
2015-01-08,Volume_Change,0.10977443609022557,0.6450049409876997,20
2015-01-08,Range_Position,0.051127819548872175,0.8304946161837171,20
2015-01-08,Return_5_Z,-0.09624060150375939,0.6864870716570238,20
2015-01-08,Return_Rank,0.1969924812030075,0.40515233009814555,20
2015-01-09,RSI,0.20150375939849624,0.39426050476127356,20
2015-01-09,Volatility,0.16992481203007515,0.47384906489411216,20
2015-01-09,Trend_Strength,0.14586466165413534,0.5394664944297437,20
2015-01-09,Return_5,0.1819548872180451,0.44262106677574986,20
2015-01-09,Volume_Change,-0.23759398496240602,0.3131305637442673,20
2015-01-09,Range_Position,0.07518796992481201,0.7527267095067718,20
2015-01-09,Volatility_Z,0.16992481203007515,0.47384906489411216,20
2015-01-09,Return_5_Z,0.1819548872180451,0.44262106677574986,20
2015-01-09,Return_Rank,-0.1639097744360902,0.4898669433807743,20
2015-01-09,Volatility_Rank,0.16992481203007515,0.47384906489411216,20
2015-01-12,RSI,-0.10977443609022557,0.6450049409876997,20
2015-01-12,Volatility,0.037593984962406006,0.8749652018566715,20
2015-01-12,Trend_Strength,0.08120300751879699,0.733607630478017,20
2015-01-12,Return_5,0.18796992481203004,0.42742125802266395,20
2015-01-12,Return_10,0.18796992481203004,0.42742125802266395,20
2015-01-12,Volume_Change,-0.5729323308270676,0.008278787429483693,20
2015-01-12,Range_Position,-0.2706766917293233,0.2483905691366973,20
2015-01-12,Volatility_Z,0.037593984962406006,0.8749652018566715,20
